6	"decentrally store archive data"	rdfs:subClassOf	"store archive data"
6	"decentrally store archive data in form"	local:in_form	"decentrally store archive data"
6	"decentrally store archive data in form"	local:decentrallystorearchivedata_in	"form"
6	"form of rdf-based format"	local:of_rdf-basedformat	"form"
6	"form of rdf-based format"	local:form_of	"rdf-based format"
6	"present"	vn.role:other	"decentrally store archive data in form"
6	"scientific"	rdfs:member	"scientific data"
6	"scientific data"	rdfs:subClassOf	"data"
6	"present"	local:AM-PNC	"represent"
6	"server"	rdfs:member	"server network"
6	"server network"	rdfs:subClassOf	"network"
6	"represent"	vn.role:Agent	"server network"
6	"scientific"	rdfs:member	"scientific data"
6	"scientific data"	rdfs:subClassOf	"data"
6	"represent"	vn.role:Theme	"scientific data"
7	"server"	rdfs:member	"server network"
7	"server network"	rdfs:subClassOf	"network"
7	"novel combination"	rdfs:subClassOf	"combination"
7	"novel"	rdfs:member	"novel combination"
7	"decentrally store"	rdfs:subClassOf	"store"
7	"existing concepts"	rdfs:subClassOf	"concepts"
7	"novel combination of existing concepts"	local:of_existingconcepts	"novel combination"
7	"novel combination of existing concepts"	local:novelcombination_of	"existing concepts"
7	"decentrally store in form"	local:in_form	"decentrally store"
7	"decentrally store in form"	local:decentrallystore_in	"form"
7	"form of nanopublications"	local:of_nanopublications	"form"
7	"form of nanopublications"	local:form_of	"nanopublications"
7	"based"	vn.role:indirect_object	"novel combination of existing concepts"
7	"existing"	vn.role:Location	"concepts"
7	"novel combination"	rdfs:subClassOf	"combination"
7	"novel"	rdfs:member	"novel combination"
7	"existing concepts"	rdfs:subClassOf	"concepts"
7	"novel combination of existing concepts"	local:of_existingconcepts	"novel combination"
7	"novel combination of existing concepts"	local:novelcombination_of	"existing concepts"
7	"present"	local:AM-ADV	"novel combination of existing concepts"
7	"present"	vn.role:Agent	"we"
7	"server"	rdfs:member	"server network"
7	"server network"	rdfs:subClassOf	"network"
7	"present"	vn.role:Theme	"server network"
7	"archive data"	rdfs:subClassOf	"data"
7	"decentrally"	rdfs:member	"decentrally store"
7	"archive"	rdfs:member	"archive data"
7	"decentrally store"	rdfs:subClassOf	"store"
7	"store archive data"	rdfs:subClassOf	"archive data"
7	"decentrally store archive data"	rdfs:subClassOf	"store archive data"
7	"decentrally store archive data in form"	local:in_form	"decentrally store archive data"
7	"decentrally store archive data in form"	local:decentrallystorearchivedata_in	"form"
7	"form of nanopublications"	local:of_nanopublications	"form"
7	"form of nanopublications"	local:form_of	"nanopublications"
7	"present"	vn.role:other	"decentrally store archive data in form"
7	"scientific"	rdfs:member	"scientific data"
7	"scientific data"	rdfs:subClassOf	"data"
7	"present"	local:AM-PNC	"represent"
7	"server"	rdfs:member	"server network"
7	"server network"	rdfs:subClassOf	"network"
7	"represent"	vn.role:Agent	"server network"
7	"scientific"	rdfs:member	"scientific data"
7	"scientific data"	rdfs:subClassOf	"data"
7	"represent"	vn.role:Theme	"scientific data"
8	"server network"	rdfs:subClassOf	"network"
8	"novel combination"	rdfs:subClassOf	"combination"
8	"novel"	rdfs:member	"novel combination"
8	"server"	rdfs:member	"server network"
8	"rdf-based"	rdfs:member	"rdf-based format"
8	"rdf-based format"	rdfs:subClassOf	"format"
8	"decentrally store"	rdfs:subClassOf	"store"
8	"novel combination of technologies"	local:of_technologies	"novel combination"
8	"novel combination of technologies"	local:novelcombination_of	"technologies"
8	"decentrally store in form"	local:in_form	"decentrally store"
8	"decentrally store in form"	local:decentrallystore_in	"form"
8	"form of rdf-based format"	local:of_rdf-basedformat	"form"
8	"form of rdf-based format"	local:form_of	"rdf-based format"
8	"based"	vn.role:indirect_object	"novel combination of technologies"
8	"novel combination"	rdfs:subClassOf	"combination"
8	"novel"	rdfs:member	"novel combination"
8	"novel combination of technologies"	local:of_technologies	"novel combination"
8	"novel combination of technologies"	local:novelcombination_of	"technologies"
8	"present"	local:AM-ADV	"novel combination of technologies"
8	"present"	vn.role:Agent	"we"
8	"server"	rdfs:member	"server network"
8	"server network"	rdfs:subClassOf	"network"
8	"present"	vn.role:Theme	"server network"
8	"decentrally"	rdfs:member	"decentrally store"
8	"archive"	rdfs:member	"archive data"
8	"decentrally store"	rdfs:subClassOf	"store"
8	"archive data"	rdfs:subClassOf	"data"
8	"rdf-based"	rdfs:member	"rdf-based format"
8	"rdf-based format"	rdfs:subClassOf	"format"
8	"store archive data"	rdfs:subClassOf	"archive data"
8	"decentrally store archive data"	rdfs:subClassOf	"store archive data"
8	"decentrally store archive data in form"	local:in_form	"decentrally store archive data"
8	"decentrally store archive data in form"	local:decentrallystorearchivedata_in	"form"
8	"form of rdf-based format"	local:of_rdf-basedformat	"form"
8	"form of rdf-based format"	local:form_of	"rdf-based format"
8	"present"	vn.role:other	"decentrally store archive data in form"
8	"scientific"	rdfs:member	"scientific data"
8	"scientific data"	rdfs:subClassOf	"data"
8	"present"	local:AM-PNC	"represent"
8	"server"	rdfs:member	"server network"
8	"server network"	rdfs:subClassOf	"network"
8	"represent"	vn.role:Agent	"server network"
8	"scientific"	rdfs:member	"scientific data"
8	"scientific data"	rdfs:subClassOf	"data"
8	"represent"	vn.role:Theme	"scientific data"
9	"server"	rdfs:member	"server network"
9	"server network"	rdfs:subClassOf	"network"
9	"novel combination"	rdfs:subClassOf	"combination"
9	"novel"	rdfs:member	"novel combination"
9	"decentrally store"	rdfs:subClassOf	"store"
9	"novel combination of technologies"	local:of_technologies	"novel combination"
9	"novel combination of technologies"	local:novelcombination_of	"technologies"
9	"decentrally store in form"	local:in_form	"decentrally store"
9	"decentrally store in form"	local:decentrallystore_in	"form"
9	"form of nanopublications"	local:of_nanopublications	"form"
9	"form of nanopublications"	local:form_of	"nanopublications"
9	"based"	vn.role:indirect_object	"novel combination of technologies"
9	"novel combination"	rdfs:subClassOf	"combination"
9	"novel"	rdfs:member	"novel combination"
9	"novel combination of technologies"	local:of_technologies	"novel combination"
9	"novel combination of technologies"	local:novelcombination_of	"technologies"
9	"present"	local:AM-ADV	"novel combination of technologies"
9	"present"	vn.role:Agent	"we"
9	"server"	rdfs:member	"server network"
9	"server network"	rdfs:subClassOf	"network"
9	"present"	vn.role:Theme	"server network"
9	"archive data"	rdfs:subClassOf	"data"
9	"decentrally"	rdfs:member	"decentrally store"
9	"archive"	rdfs:member	"archive data"
9	"decentrally store"	rdfs:subClassOf	"store"
9	"store archive data"	rdfs:subClassOf	"archive data"
9	"decentrally store archive data"	rdfs:subClassOf	"store archive data"
9	"decentrally store archive data in form"	local:in_form	"decentrally store archive data"
9	"decentrally store archive data in form"	local:decentrallystorearchivedata_in	"form"
9	"form of nanopublications"	local:of_nanopublications	"form"
9	"form of nanopublications"	local:form_of	"nanopublications"
