01.9	"consistent merge of ontologies"	local:consistentmerge_of	"ontologies"
01.9	"allowing"	vn.role:Theme	"consistent merge of ontologies"
01.10	"compared"	vn.role:Patient2	"system"
01.10	"composition"	rdfs:member	"composition operation"
01.10	"alignment"	rdfs:member	"alignment composition"
01.10	"alignment composition operation"	rdfs:subClassOf	"operation"
01.10	"composition operation"	rdfs:subClassOf	"operation"
01.10	"alignment composition"	rdfs:subClassOf	"composition"
01.10	"alignment composition"	rdfs:member	"alignment composition operation"
01.10	"alignment composition operation"	rdfs:subClassOf	"composition operation"
01.10	"complying with alignment composition operation"	local:with_alignmentcompositionoperation	"complying"
01.10	"complying with alignment composition operation"	local:complying_with	"alignment composition operation"
01.10	"compared"	vn.role:Agent	"respect"
01.10	"composition"	rdfs:member	"composition operation"
01.10	"alignment"	rdfs:member	"alignment composition"
01.10	"alignment composition operation"	rdfs:subClassOf	"operation"
01.10	"composition operation"	rdfs:subClassOf	"operation"
01.10	"alignment composition"	rdfs:subClassOf	"composition"
01.10	"alignment composition"	rdfs:member	"alignment composition operation"
01.10	"alignment composition operation"	rdfs:subClassOf	"composition operation"
01.10	"complying"	vn.role:Patient	"alignment composition operation"
01.11	"composed"	vn.role:Product	"system"
01.11	"alignments interconnecting"	local:_interconnecting	"alignments"
01.11	"alignments interconnecting"	local:alignments_	"interconnecting"
01.11	"composed"	vn.role:Material	"alignments interconnecting"
01.11	"system composed"	local:_composed	"system"
01.11	"system composed"	local:system_	"composed"
01.11	"composed of alignments"	local:of_alignments	"composed"
01.11	"composed of alignments"	local:composed_of	"alignments"
01.11	"interconnecting"	vn.role:Patient1	"system composed"
01.11	"interconnecting"	vn.role:Patient2	"advantages"
01.12	"composed"	vn.role:Product	"system"
01.12	"composed"	vn.role:Material	"ontologies"
01.12	"system composed"	local:_composed	"system"
01.12	"system composed"	local:system_	"composed"
01.12	"composed of ontologies"	local:of_ontologies	"composed"
01.12	"composed of ontologies"	local:composed_of	"ontologies"
01.12	"interconnecting"	vn.role:Patient1	"system composed"
01.12	"interconnecting"	vn.role:Patient2	"advantages"
01.13	"compared"	vn.role:Patient2	"system"
01.13	"compared"	vn.role:Agent	"respect"
01.13	"managing"	vn.role:Theme	"heterogeneity"
01.14	"two variants"	rdfs:subClassOf	"variants"
01.14	"first two variants"	rdfs:subClassOf	"two variants"
01.14	"differ"	vn.role:Actor1	"first two variants"
01.14	"proposed semantics"	rdfs:subClassOf	"semantics"
01.14	"differ"	vn.role:Actor2	"proposed semantics"
01.14	"proposed"	vn.role:Topic	"semantics"
01.15	"show"	vn.role:Agent	"we"
01.15	"sound"	rdfs:member	"sound composition"
01.15	"composition"	rdfs:member	"composition operation"
01.15	"sound composition"	rdfs:subClassOf	"composition"
01.15	"composition operation"	rdfs:subClassOf	"operation"
01.15	"sound composition"	rdfs:member	"sound composition operation"
01.15	"sound composition operation"	rdfs:subClassOf	"operation"
01.15	"sound composition operation"	rdfs:subClassOf	"composition operation"
01.15	"can offer"	rdfs:subClassOf	"offer"
01.15	"two variants"	rdfs:subClassOf	"variants"
01.15	"first two variants"	rdfs:subClassOf	"two variants"
01.15	"show"	vn.role:Theme	"can offer"
01.15	"two variants"	rdfs:subClassOf	"variants"
01.15	"first two variants"	rdfs:subClassOf	"two variants"
01.15	"offer"	vn.role:Agent	"first two variants"
01.15	"offer"	local:AM-MOD	"can"
01.15	"sound"	rdfs:member	"sound composition"
01.15	"composition"	rdfs:member	"composition operation"
01.15	"sound composition"	rdfs:subClassOf	"composition"
01.15	"composition operation"	rdfs:subClassOf	"operation"
01.15	"sound composition"	rdfs:member	"sound composition operation"
01.15	"sound composition operation"	rdfs:subClassOf	"operation"
01.15	"sound composition operation"	rdfs:subClassOf	"composition operation"
01.15	"offer"	vn.role:Theme	"sound composition operation"
02.1	"formal study"	rdfs:subClassOf	"study"
02.1	"formal"	rdfs:member	"formal study"
02.1	"formal study of sparql"	local:of_sparql	"formal study"
02.1	"formal study of sparql"	local:formalstudy_of	"sparql"
02.1	"concentrating"	vn.role:Experiencer	"formal study of sparql"
02.1	"sparql"	rdfs:member	"sparql graph"
